"";"title";"record_id";"detail_url"
"1";" مجلة العربي للدراسات و الأبحاث";"BIM-909034";"https://search.emarefa.net/detail/BIM-909034/مجلة-العربي-للدراسات-و-الأبحاث/1"
"2";" مجلة العربي للدراسات الإعلامية";"BIM-869933";"https://search.emarefa.net/detail/BIM-869933/مجلة-العربي-للدراسات-الإعلامية/2"
"3";" مجلة بحوث الإدارة و الاقتصاد";"BIM-909047";"https://search.emarefa.net/detail/BIM-909047/مجلة-بحوث-الإدارة-و-الاقتصاد/3"
"4";" مجلة إدارة المخاطر و الأزمات";"BIM-890862";"https://search.emarefa.net/detail/BIM-890862/مجلة-إدارة-المخاطر-و-الأزمات/4"
"5";" مجلة البحوث و الدراسات الاقتصادية";"BIM-938494";"https://search.emarefa.net/detail/BIM-938494/مجلة-البحوث-و-الدراسات-الاقتصادية/5"
"6";" مجلة جامعة الشارقة للعلوم القانونية";"BIM-890729";"https://search.emarefa.net/detail/BIM-890729/مجلة-جامعة-الشارقة-للعلوم-القانونية/6"
"7";" مجلة جامعة القدس المفتوحة للبحوث الإنسانية و الاجتماعية";"BIM-838250";"https://search.emarefa.net/detail/BIM-838250/مجلة-جامعة-القدس-المفتوحة-للبحوث-الإنسانية-و-الاجتماعية/7"
"8";" المجلة الدولية لضمان الجودة";"BIM-901478";"https://search.emarefa.net/detail/BIM-901478/المجلة-الدولية-لضمان-الجودة/8"
"9";" المجلة الدولية للأداء الاقتصادي :";"BIM-908953";"https://search.emarefa.net/detail/BIM-908953/المجلة-الدولية-للأداء-الاقتصادي-:/9"
"10";" AlMuntaqa";"BIM-836150";"https://search.emarefa.net/detail/BIM-836150/almuntaqa/10"
"11";" المجلة الدولية للبحوث في العلوم التربوية";"BIM-764110";"https://search.emarefa.net/detail/BIM-764110/المجلة-الدولية-للبحوث-في-العلوم-التربوية/11"
"12";" مجلة الجامعة الإسلامية للدراسات الشرعية و القانونية";"BIM-858320";"https://search.emarefa.net/detail/BIM-858320/مجلة-الجامعة-الإسلامية-للدراسات-الشرعية-و-القانونية/12"
"13";" المجلة العربية للإعلام و ثقافة الطفل";"BIM-846218";"https://search.emarefa.net/detail/BIM-846218/المجلة-العربية-للإعلام-و-ثقافة-الطفل/13"
"14";" مجلة العلوم الإدارية و المالية";"BIM-877748";"https://search.emarefa.net/detail/BIM-877748/مجلة-العلوم-الإدارية-و-المالية/14"
"15";" المجلة العربية لعلوم الإعاقة و الموهبة";"BIM-846539";"https://search.emarefa.net/detail/BIM-846539/المجلة-العربية-لعلوم-الإعاقة-و-الموهبة/15"
"16";" المجلة العربية للآداب و الدراسات الإنسانية";"BIM-846271";"https://search.emarefa.net/detail/BIM-846271/المجلة-العربية-للآداب-و-الدراسات-الإنسانية/16"
"17";" المجلة العربية للعلوم التربوية و النفسية";"BIM-845826";"https://search.emarefa.net/detail/BIM-845826/المجلة-العربية-للعلوم-التربوية-و-النفسية/17"
"18";" المجلة العربية مداد";"BIM-846482";"https://search.emarefa.net/detail/BIM-846482/المجلة-العربية-مداد/18"
"19";" مجلة الامتياز لبحوث الاقتصاد و الإدارة";"BIM-880439";"https://search.emarefa.net/detail/BIM-880439/مجلة-الامتياز-لبحوث-الاقتصاد-و-الإدارة/19"
